PassengerId,Survived,Sex,Age,Family,isMother,Pclass_1,Pclass_2,Embarked_1,Embarked_2,Fare_Category_1,Fare_Category_2
1,0,0,22,1,0,0,0,0,1,1,0
2,1,1,38,1,0,1,0,1,0,0,0
3,1,1,26,0,0,0,0,0,1,1,0
4,1,1,35,1,0,1,0,0,1,0,0
5,0,0,35,0,0,0,0,0,1,1,0
6,0,0,28,0,0,0,0,0,0,1,0
7,0,0,54,0,0,1,0,0,1,0,0
8,0,0,2,4,0,0,0,0,1,1,0
9,1,1,27,2,1,0,0,0,1,1,0
10,1,1,14,1,0,0,1,1,0,0,1
11,1,1,4,2,0,0,0,0,1,1,0
12,1,1,58,0,0,1,0,0,1,0,1
13,0,0,20,0,0,0,0,0,1,1,0
14,0,0,39,6,0,0,0,0,1,0,1
15,0,1,14,0,0,0,0,0,1,1,0
16,1,1,55,0,0,0,1,0,1,1,0
17,0,0,2,5,0,0,0,0,0,0,1
18,1,0,34,0,0,0,1,0,1,1,0
19,0,1,31,1,0,0,0,0,1,1,0
20,1,1,28,0,0,0,0,1,0,1,0
21,0,0,35,0,0,0,1,0,1,0,1
22,1,0,34,0,0,0,1,0,1,1,0
23,1,1,15,0,0,0,0,0,0,1,0
24,1,0,28,0,0,1,0,0,1,0,1
25,0,1,8,4,0,0,0,0,1,1,0
26,1,1,38,6,1,0,0,0,1,0,1
27,0,0,28,0,0,0,0,1,0,1,0
28,0,0,19,5,0,1,0,0,1,0,0
29,1,1,28,0,0,0,0,0,0,1,0
30,0,0,28,0,0,0,0,0,1,1,0
31,0,0,40,0,0,1,0,1,0,0,1
32,1,1,37,1,0,1,0,1,0,0,0
33,1,1,28,0,0,0,0,0,0,1,0
34,0,0,66,0,0,0,1,0,1,1,0
35,0,0,28,1,0,1,0,1,0,0,0
36,0,0,42,1,0,1,0,0,1,0,0
37,1,0,28,0,0,0,0,1,0,1,0
38,0,0,21,0,0,0,0,0,1,1,0
39,0,1,18,2,0,0,0,0,1,1,0
40,1,1,14,1,0,0,0,1,0,1,0
41,0,1,40,1,0,0,0,0,1,1,0
42,0,1,27,1,0,0,1,0,1,1,0
43,0,0,28,0,0,0,0,1,0,1,0
44,1,1,3,3,0,0,1,1,0,0,1
45,1,1,19,0,0,0,0,0,0,1,0
46,0,0,28,0,0,0,0,0,1,1,0
47,0,0,23,1,0,0,0,0,0,1,0
48,1,1,28,0,0,0,0,0,0,1,0
49,0,0,22,2,0,0,0,1,0,0,1
50,0,1,18,1,0,0,0,0,1,1,0
51,0,0,7,5,0,0,0,0,1,0,1
52,0,0,21,0,0,0,0,0,1,1,0
53,1,1,49,1,0,1,0,1,0,0,0
54,1,1,29,1,0,0,1,0,1,0,1
55,0,0,65,1,0,1,0,1,0,0,0
56,1,0,41,0,0,1,0,0,1,0,1
57,1,1,21,0,0,0,1,0,1,1,0
58,0,0,28,0,0,0,0,1,0,1,0
59,1,1,5,3,0,0,1,0,1,0,1
60,0,0,11,7,0,0,0,0,1,0,0
61,0,0,22,0,0,0,0,1,0,1,0
63,0,0,45,1,0,1,0,0,1,0,0
64,0,0,4,5,0,0,0,0,1,0,1
65,0,0,41,0,0,1,0,1,0,0,1
66,1,0,22,2,0,0,0,1,0,1,0
67,1,1,29,0,0,0,1,0,1,1,0
68,0,0,19,0,0,0,0,0,1,1,0
69,1,1,17,6,0,0,0,0,1,1,0
70,0,0,26,2,0,0,0,0,1,1,0
71,0,0,32,0,0,0,1,0,1,1,0
72,0,1,16,7,0,0,0,0,1,0,0
73,0,0,21,0,0,0,1,0,1,0,0
74,0,0,26,1,0,0,0,1,0,1,0
75,1,0,32,0,0,0,0,0,1,0,0
76,0,0,25,0,0,0,0,0,1,1,0
77,0,0,28,0,0,0,0,0,1,1,0
78,0,0,28,0,0,0,0,0,1,1,0
79,1,0,1,2,0,0,1,0,1,0,1
80,1,1,30,0,0,0,0,0,1,1,0
81,0,0,22,0,0,0,0,0,1,1,0
82,1,0,29,0,0,0,0,0,1,1,0
83,1,1,28,0,0,0,0,0,0,1,0
84,0,0,28,0,0,1,0,0,1,0,0
85,1,1,17,0,0,0,1,0,1,1,0
86,1,1,33,3,0,0,0,0,1,1,0
87,0,0,16,4,0,0,0,0,1,0,1
88,0,0,28,0,0,0,0,0,1,1,0
89,1,1,23,5,0,1,0,0,1,0,0
90,0,0,24,0,0,0,0,0,1,1,0
91,0,0,29,0,0,0,0,0,1,1,0
92,0,0,20,0,0,0,0,0,1,1,0
93,0,0,46,1,0,1,0,0,1,0,0
94,0,0,26,3,0,0,0,0,1,1,0
95,0,0,59,0,0,0,0,0,1,1,0
96,0,0,28,0,0,0,0,0,1,1,0
97,0,0,71,0,0,1,0,1,0,0,1
98,1,0,23,1,0,1,0,1,0,0,0
99,1,1,34,1,0,0,1,0,1,0,1
100,0,0,34,1,0,0,1,0,1,0,1
101,0,1,28,0,0,0,0,0,1,1,0
102,0,0,28,0,0,0,0,0,1,1,0
103,0,0,21,1,0,1,0,0,1,0,0
