Survived,Sex,Age,Family,isMother,Pclass_1,Pclass_2,Embarked_1,Embarked_2,Fare_Category_1,Fare_Category_2
0,0,28,0,0,0,0,1,0,1,0
1,0,30,0,0,0,0,0,1,1,0
0,0,28,0,0,0,1,0,1,1,0
0,0,23,0,0,0,1,0,1,1,0
1,1,21,0,0,1,0,0,1,0,0
0,0,23,0,0,0,0,0,1,1,0
0,0,55,1,0,1,0,1,0,0,0
0,0,21,0,0,0,0,0,1,1,0
0,0,41,0,0,0,1,0,1,1,0
0,1,17,4,0,0,0,0,1,0,1
0,1,50,0,0,1,0,1,0,0,1
0,0,26,0,0,0,0,0,0,1,0
0,0,21,0,0,0,0,0,1,1,0
1,0,32,0,0,0,0,0,1,1,0
1,1,28,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,19,0,0,0,0,0,1,1,0
0,0,18,0,0,0,0,0,1,1,0
0,0,24,0,0,0,0,0,1,1,0
0,0,32,1,0,0,1,1,0,0,1
0,0,45,0,0,1,0,0,1,0,1
1,0,30,1,0,1,0,1,0,0,0
0,0,24,1,0,0,0,1,0,1,0
0,0,25,0,0,0,0,0,1,1,0
1,0,3,2,0,0,1,0,1,1,0
0,0,28,0,0,0,0,1,0,1,0
0,0,10,5,0,0,0,0,1,0,1
0,1,31,1,0,0,0,0,1,1,0
0,0,30,2,0,0,1,0,1,0,1
1,1,22,0,0,0,0,0,1,1,0
0,0,18,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,20,0,0,0,0,0,1,1,0
0,0,24,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
1,1,26,0,0,0,0,0,1,1,0
0,0,17,0,0,0,0,0,1,1,0
0,1,37,0,0,0,0,0,1,1,0
0,0,16,0,0,0,1,0,1,1,0
1,1,30,0,0,0,0,0,1,1,0
0,1,18,0,0,0,0,0,0,1,0
0,1,14,0,0,0,0,0,1,1,0
0,0,24,2,0,0,1,0,1,0,1
0,0,34,0,0,0,0,0,0,1,0
0,0,16,4,0,0,0,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,35,0,0,0,0,0,1,1,0
0,0,46,0,0,1,0,1,0,0,0
0,0,16,0,0,0,1,0,1,0,1
0,0,24,0,0,0,0,0,1,1,0
1,1,17,1,0,0,0,0,1,1,0
1,1,22,1,0,1,0,1,0,0,0
0,0,27,0,0,0,0,0,1,1,0
0,0,62,0,0,1,0,0,1,0,1
0,0,43,0,0,0,0,0,1,1,0
1,0,25,1,0,1,0,1,0,0,0
1,1,28,0,0,0,0,0,0,1,0
0,0,67,1,0,1,0,0,1,0,0
0,0,25,0,0,0,1,0,1,1,0
1,1,28,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,0,1,0
0,0,71,0,0,1,0,1,0,0,1
1,0,28,0,0,0,0,0,1,1,0
0,0,36,0,0,0,0,0,1,1,0
1,0,30,0,0,0,1,1,0,1,0
1,1,1,2,0,0,0,0,1,1,0
1,0,32,0,0,0,0,0,1,0,0
1,1,38,1,0,1,0,1,0,0,0
0,0,57,0,0,0,1,0,1,1,0
0,0,38,0,0,0,0,0,1,1,0
0,1,44,1,0,0,1,0,1,0,1
1,1,19,0,0,1,0,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
0,0,32,0,0,0,0,0,1,1,0
0,0,27,2,0,1,0,1,0,0,0
0,0,21,0,0,0,0,0,1,1,0
0,0,21,2,0,0,1,0,1,0,0
1,1,22,0,0,0,0,0,0,1,0
0,1,30,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
1,1,36,1,0,0,1,0,1,0,1
0,0,25,0,0,0,0,0,1,1,0
1,1,52,1,0,1,0,1,0,0,0
0,0,54,1,0,0,1,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
1,1,60,0,0,1,0,1,0,0,0
0,0,18,1,0,0,0,1,0,1,0
1,1,55,0,0,1,0,1,0,0,0
0,0,29,0,0,0,0,0,1,1,0
0,0,24,0,0,0,1,0,1,1,0
1,1,19,0,0,0,1,0,1,1,0
0,0,32,0,0,0,0,0,1,1,0
0,0,24,1,0,0,0,1,0,1,0
0,1,3,2,0,0,0,0,1,1,0
0,0,22,0,0,0,0,0,1,1,0
0,0,24,1,0,0,0,0,1,1,0
0,0,18,2,0,0,0,0,1,1,0
1,0,4,2,0,0,0,0,1,1,0
0,0,21,0,0,0,0,0,1,1,0
0,0,27,1,0,1,0,1,0,0,0
0,0,14,10,0,0,0,0,1,0,0
0,1,20,2,0,0,0,0,0,1,0
0,0,26,0,0,0,1,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,18,0,0,0,1,0,1,1,0
0,0,45,0,0,0,0,0,1,1,0
0,1,28,0,0,0,0,0,0,1,0
0,0,26,3,0,0,0,0,1,1,0
0,0,44,2,0,1,0,0,0,0,0
1,1,30,0,0,1,0,0,1,0,0
1,1,36,0,0,0,1,0,1,1,0
1,1,35,0,0,1,0,0,1,0,0
0,0,4,6,0,0,0,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,24,1,0,0,0,0,1,1,0
1,0,13,4,0,1,0,1,0,0,0
0,0,35,0,0,0,0,0,1,1,0
0,0,19,0,0,0,0,0,1,1,0
1,0,31,1,0,1,0,0,1,0,0
1,1,55,2,0,1,0,0,1,0,1
0,0,40,0,0,1,0,0,1,0,0
0,0,21,0,0,0,0,0,1,1,0
1,0,32,0,0,0,0,0,1,1,0
0,0,34,1,0,0,1,0,1,1,0
0,0,32,0,0,0,0,0,1,1,0
0,0,49,0,0,0,0,0,1,0,0
0,0,39,0,0,0,1,0,1,1,0
0,0,30,0,0,0,0,0,1,1,0
1,1,27,2,1,0,0,0,1,1,0
0,0,47,0,0,0,1,0,1,1,0
1,0,1,2,0,0,1,1,0,0,1
1,0,26,2,0,0,1,0,1,0,1
1,1,47,2,0,1,0,0,1,0,0
0,0,1,5,0,0,0,0,1,0,1
0,0,14,10,0,0,0,0,1,0,0
0,0,36,1,0,0,0,0,1,1,0
0,0,25,0,0,0,0,0,1,1,0
0,0,42,0,0,1,0,0,1,0,1
0,0,55,0,0,1,0,0,1,0,1
0,0,22,0,0,0,0,0,1,1,0
0,0,21,0,0,0,0,1,0,1,0
1,1,35,0,0,1,0,1,0,0,0
0,0,20,0,0,0,0,1,0,1,0
0,0,17,1,0,0,0,0,1,1,0
0,0,29,0,0,0,0,0,1,1,0
0,0,13,2,0,0,0,0,1,1,0
1,1,58,0,0,1,0,1,0,0,0
0,0,30,0,0,0,0,0,1,1,0
1,1,38,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
0,0,47,0,0,1,0,0,1,0,1
0,0,38,0,0,0,0,0,1,1,0
1,0,20,2,0,0,0,1,0,0,1
0,0,16,2,0,0,0,0,1,1,0
0,0,40,0,0,1,0,0,1,0,1
0,0,26,0,0,0,0,0,1,1,0
1,1,17,0,0,0,1,1,0,1,0
0,0,20,0,0,0,0,0,1,1,0
0,0,22,0,0,0,0,0,1,1,0
1,0,29,0,0,0,1,1,0,1,0
1,0,2,2,0,0,1,0,1,0,1
0,0,21,0,0,0,1,0,1,1,0
0,0,46,0,0,1,0,0,1,0,1
0,0,25,0,0,0,0,0,1,1,0
1,0,1,3,0,0,1,0,1,0,1
1,1,48,2,1,0,1,0,1,0,1
1,1,45,1,0,1,0,0,1,0,0
0,0,21,0,0,0,1,0,1,0,0
0,0,21,0,0,0,0,0,1,1,0
1,1,35,0,0,0,1,0,1,1,0
1,1,34,1,0,0,1,0,1,0,1
1,1,16,2,0,0,0,1,0,1,0
1,1,26,0,0,0,0,0,1,1,0
1,1,22,0,0,0,0,0,1,1,0
0,1,39,5,1,0,0,0,0,0,1
0,0,37,2,0,1,0,1,0,0,0
1,1,23,5,0,1,0,0,1,0,0
0,0,28,0,0,0,1,0,1,1,0
0,0,42,0,0,0,1,0,1,1,0
1,1,36,0,0,0,1,0,1,1,0
0,0,11,7,0,0,0,0,1,0,0
1,1,5,3,0,0,1,0,1,0,1
0,0,46,0,0,1,0,1,0,0,0
0,0,22,2,0,0,1,0,1,0,1
0,0,42,2,0,0,1,0,1,0,1
0,0,21,0,0,0,0,0,0,1,0
0,0,25,0,0,0,0,1,0,1,0
1,0,1,3,0,0,0,0,1,1,0
0,0,17,2,0,0,0,0,1,1,0
0,0,44,1,0,0,0,0,1,1,0
1,1,54,1,0,1,0,1,0,0,0
1,1,32,0,0,0,1,0,1,1,0
0,0,40,0,0,1,0,1,0,0,1
0,0,50,1,0,0,1,0,1,0,1
0,0,18,0,0,0,0,0,1,1,0
1,0,40,0,0,1,0,0,1,0,1
0,0,33,0,0,0,1,0,1,1,0
1,1,25,1,0,0,1,0,1,0,1
1,0,45,0,0,1,0,1,0,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,40,0,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,0,1,0
0,0,61,0,0,1,0,0,1,0,1
0,0,39,0,0,0,1,0,1,0,1
0,1,28,0,0,0,0,0,1,1,0
1,1,31,0,0,0,1,0,1,1,0
0,1,2,6,0,0,0,0,1,0,1
0,0,22,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,0,1
0,0,50,2,0,1,0,1,0,0,0
1,1,28,0,0,0,0,0,0,1,0
0,1,40,1,0,0,0,0,1,1,0
1,0,21,0,0,0,0,0,0,1,0
0,0,41,0,0,0,1,1,0,1,0
0,1,3,4,0,0,0,0,1,1,0
0,0,49,2,0,1,0,1,0,0,0
1,1,20,2,1,0,0,1,0,1,0
0,1,29,0,0,0,0,0,1,1,0
0,0,58,2,0,1,0,1,0,0,0
0,1,24,0,0,0,1,0,1,1,0
0,0,24,1,0,0,0,0,0,0,1
0,0,32,0,0,0,1,0,1,0,0
0,1,29,2,0,0,0,0,1,1,0
0,0,41,0,0,1,0,0,1,0,1
0,0,40,0,0,1,0,1,0,0,1
1,1,19,0,0,0,1,0,1,0,1
0,0,14,10,0,0,0,0,1,0,0
0,1,26,2,0,0,1,0,1,0,1
0,0,19,0,0,0,0,0,1,1,0
0,0,48,0,0,1,0,1,0,0,0
0,1,1,2,0,0,0,0,1,1,0
0,0,17,2,0,0,0,1,0,1,0
0,1,22,0,0,0,0,0,1,1,0
1,0,20,2,0,0,0,0,0,0,1
0,0,26,0,0,0,0,0,1,1,0
0,0,34,0,0,0,0,0,1,1,0
1,1,24,1,0,0,1,1,0,0,1
0,0,28,0,0,0,0,0,0,1,0
0,0,64,0,0,1,0,0,1,0,1
1,1,15,2,0,0,1,0,1,0,1
0,0,18,0,0,0,1,0,1,0,0
0,0,22,0,0,0,0,0,1,1,0
1,0,28,0,0,1,0,0,1,0,1
1,1,23,0,0,0,0,0,1,1,0
1,0,23,0,0,0,0,0,1,1,0
1,0,37,2,0,1,0,0,1,0,0
