PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Title,Pclass_1,Pclass_2,Embarked_C,Embarked_Q
1,0,0,22.0,1,0,7,1,0,0,0,0
2,1,1,38.0,1,0,71,3,1,0,1,0
3,1,1,26.0,0,0,7,2,0,0,0,0
4,1,1,35.0,1,0,53,3,1,0,0,0
5,0,0,35.0,0,0,8,1,0,0,0,0
6,0,0,28.724890829694324,0,0,8,1,0,0,0,1
7,0,0,54.0,0,0,51,1,1,0,0,0
8,0,0,2.0,3,1,21,4,0,0,0,0
9,1,1,27.0,0,2,11,3,0,0,0,0
10,1,1,14.0,1,0,30,3,0,1,1,0
11,1,1,4.0,1,1,16,2,0,0,0,0
12,1,1,58.0,0,0,26,2,1,0,0,0
13,0,0,20.0,0,0,8,1,0,0,0,0
14,0,0,39.0,1,5,31,1,0,0,0,0
15,0,1,14.0,0,0,7,2,0,0,0,0
16,1,1,55.0,0,0,16,3,0,1,0,0
17,0,0,2.0,4,1,29,4,0,0,0,1
18,1,0,32.76829268292683,0,0,13,1,0,1,0,0
19,0,1,31.0,1,0,18,3,0,0,0,0
20,1,1,33.515151515151516,0,0,7,3,0,0,1,0
21,0,0,35.0,0,0,26,1,0,1,0,0
22,1,0,34.0,0,0,13,1,0,1,0,0
23,1,1,15.0,0,0,8,2,0,0,0,1
24,1,0,28.0,0,0,35,1,1,0,0,0
25,0,1,8.0,3,1,21,2,0,0,0,0
26,1,1,38.0,1,5,31,3,0,0,0,0
27,0,0,28.724890829694324,0,0,7,1,0,0,1,0
28,0,0,19.0,3,2,263,1,1,0,0,0
29,1,1,16.1231884057971,0,0,7,2,0,0,0,1
30,0,0,28.724890829694324,0,0,7,1,0,0,0,0
31,0,0,40.0,0,0,27,5,1,0,1,0
32,1,1,40.4,1,0,146,3,1,0,1,0
33,1,1,16.1231884057971,0,0,7,2,0,0,0,1
34,0,0,66.0,0,0,10,1,0,1,0,0
35,0,0,28.0,1,0,82,1,1,0,1,0
36,0,0,42.0,1,0,52,1,1,0,0,0
37,1,0,28.724890829694324,0,0,7,1,0,0,1,0
38,0,0,21.0,0,0,8,1,0,0,0,0
39,0,1,18.0,2,0,18,2,0,0,0,0
40,1,1,14.0,1,0,11,2,0,0,1,0
41,0,1,40.0,1,0,9,3,0,0,0,0
42,0,1,27.0,1,0,21,3,0,1,0,0
43,0,0,28.724890829694324,0,0,7,1,0,0,1,0
44,1,1,3.0,1,2,41,2,0,1,1,0
45,1,1,19.0,0,0,7,2,0,0,0,1
46,0,0,28.724890829694324,0,0,8,1,0,0,0,0
47,0,0,28.724890829694324,1,0,15,1,0,0,0,1
48,1,1,16.1231884057971,0,0,7,2,0,0,0,1
49,0,0,28.724890829694324,2,0,21,1,0,0,1,0
50,0,1,18.0,1,0,17,3,0,0,0,0
51,0,0,7.0,4,1,39,4,0,0,0,0
52,0,0,21.0,0,0,7,1,0,0,0,0
53,1,1,49.0,1,0,76,3,1,0,1,0
54,1,1,29.0,1,0,26,3,0,1,0,0
55,0,0,65.0,0,1,61,1,1,0,1,0
56,1,0,41.58045977011494,0,0,35,1,1,0,0,0
57,1,1,21.0,0,0,10,2,0,1,0,0
58,0,0,28.5,0,0,7,1,0,0,1,0
59,1,1,5.0,1,2,27,2,0,1,0,0
60,0,0,11.0,5,2,46,4,0,0,0,0
61,0,0,22.0,0,0,7,1,0,0,1,0
62,1,1,38.0,0,0,80,2,1,0,0,0
63,0,0,45.0,1,0,83,1,1,0,0,0
64,0,0,4.0,3,2,27,4,0,0,0,0
65,0,0,41.58045977011494,0,0,27,1,1,0,1,0
66,1,0,5.350833333333333,1,1,15,4,0,0,1,0
67,1,1,29.0,0,0,10,3,0,1,0,0
68,0,0,19.0,0,0,8,1,0,0,0,0
69,1,1,17.0,4,2,7,2,0,0,0,0
70,0,0,26.0,2,0,8,1,0,0,0,0
71,0,0,32.0,0,0,10,1,0,1,0,0
72,0,1,16.0,5,2,46,2,0,0,0,0
73,0,0,21.0,0,0,73,1,0,1,0,0
74,0,0,26.0,1,0,14,1,0,0,1,0
75,1,0,32.0,0,0,56,1,0,0,0,0
76,0,0,25.0,0,0,7,1,0,0,0,0
77,0,0,28.724890829694324,0,0,7,1,0,0,0,0
78,0,0,28.724890829694324,0,0,8,1,0,0,0,0
79,1,0,0.83,0,2,29,4,0,1,0,0
80,1,1,30.0,0,0,12,2,0,0,0,0
81,0,0,22.0,0,0,9,1,0,0,0,0
82,1,0,29.0,0,0,9,1,0,0,0,0
83,1,1,16.1231884057971,0,0,7,2,0,0,0,1
84,0,0,28.0,0,0,47,1,1,0,0,0
85,1,1,17.0,0,0,10,2,0,1,0,0
86,1,1,33.0,3,0,15,3,0,0,0,0
87,0,0,16.0,1,3,34,1,0,0,0,0
88,0,0,28.724890829694324,0,0,8,1,0,0,0,0
89,1,1,23.0,3,2,263,2,1,0,0,0
90,0,0,24.0,0,0,8,1,0,0,0,0
91,0,0,29.0,0,0,8,1,0,0,0,0
92,0,0,20.0,0,0,7,1,0,0,0,0
93,0,0,46.0,1,0,61,1,1,0,0,0
94,0,0,26.0,1,2,20,1,0,0,0,0
95,0,0,59.0,0,0,7,1,0,0,0,0
96,0,0,28.724890829694324,0,0,8,1,0,0,0,0
97,0,0,71.0,0,0,34,1,1,0,1,0
98,1,0,23.0,0,1,63,1,1,0,1,0
99,1,1,34.0,0,1,23,3,0,1,0,0
100,0,0,34.0,1,0,26,1,0,1,0,0
101,0,1,28.0,0,0,7,2,0,0,0,0
102,0,0,28.724890829694324,0,0,7,1,0,0,0,0
103,0,0,21.0,0,1,77,1,1,0,0,0
104,0,0,33.0,0,0,8,1,0,0,0,0
105,0,0,37.0,2,0,7,1,0,0,0,0
106,0,0,28.0,0,0,7,1,0,0,0,0
107,1,1,21.0,0,0,7,2,0,0,0,0
108,1,0,28.724890829694324,0,0,7,1,0,0,0,0
109,0,0,38.0,0,0,7,1,0,0,0,0
110,1,1,16.1231884057971,1,0,24,2,0,0,0,1
111,0,0,47.0,0,0,52,1,1,0,0,0
112,0,1,14.5,1,0,14,2,0,0,1,0
113,0,0,22.0,0,0,8,1,0,0,0,0
114,0,1,20.0,1,0,9,2,0,0,0,0
115,0,1,17.0,0,0,14,2,0,0,1,0
116,0,0,21.0,0,0,7,1,0,0,0,0
117,0,0,70.5,0,0,7,1,0,0,0,1
118,0,0,29.0,1,0,21,1,0,1,0,0
119,0,0,24.0,0,1,247,1,1,0,1,0
120,0,1,2.0,4,2,31,2,0,0,0,0
121,0,0,21.0,2,0,73,1,0,1,0,0
122,0,0,28.724890829694324,0,0,8,1,0,0,0,0
123,0,0,32.5,1,0,30,1,0,1,1,0
124,1,1,32.5,0,0,13,2,0,1,0,0
125,0,0,54.0,0,1,77,1,1,0,0,0
